Point ID,arc_length,ClosestId(0),Distance(0),p,Points_0,Points_1,Points_2,Points_Magnitude,rho,T,Thrust_exit_plane,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
260,0.0046644,2,4.25981e+06,71901.2,0.162,0.0046644,0,0.162067,0.0791478,2269.07,306.32,2059.39,199.925,0,2069.07,1
261,0.00468234,2,2.84748e+06,72278.9,0.162,0.00468234,0,0.162068,0.0794955,2270.73,308.958,2061.66,195.785,0,2070.93,1
262,0.00470028,2,1.72045e+06,72656.5,0.162,0.00470028,0,0.162068,0.0798432,2272.38,311.595,2063.92,191.644,0,2072.8,1
263,0.00471822,2,878759,73034.2,0.162,0.00471822,0,0.162069,0.0801909,2274.04,314.233,2066.19,187.503,0,2074.68,1
264,0.00473616,2,322396,73411.9,0.162,0.00473616,0,0.162069,0.0805386,2275.69,316.871,2068.45,183.362,0,2076.56,1
265,0.0047541,2,51384.2,73789.6,0.162,0.0047541,0,0.16207,0.0808863,2277.35,319.508,2070.72,179.221,0,2078.46,1
266,0.00477204,2,65707.9,74167.2,0.162,0.00477204,0,0.16207,0.081234,2279,322.146,2072.98,175.08,0,2080.36,1
267,0.00478998,2,365368,74544.9,0.162,0.00478998,0,0.162071,0.0815817,2280.66,324.783,2075.25,170.939,0,2082.28,1
268,0.00480792,2,950348,74922.6,0.162,0.00480792,0,0.162071,0.0819295,2282.32,327.421,2077.52,166.799,0,2084.2,1
269,0.00482586,2,1.45024e+06,75155.1,0.162,0.00482586,0,0.162072,0.0821315,2283.09,328.893,2078.31,155.395,0,2084.11,1
270,0.0048438,2,1.78385e+06,75288.5,0.162,0.0048438,0,0.162072,0.082234,2283.25,329.568,2078.09,139.03,0,2082.74,1
271,0.00486174,2,2.15361e+06,75421.9,0.162,0.00486174,0,0.162073,0.0823366,2283.41,330.244,2077.87,122.666,0,2081.49,1
272,0.00487968,2,2.55949e+06,75555.4,0.162,0.00487968,0,0.162073,0.0824391,2283.58,330.92,2077.66,106.302,0,2080.37,1
273,0.00489762,2,3.00151e+06,75688.8,0.162,0.00489762,0,0.162074,0.0825416,2283.74,331.596,2077.44,89.9374,0,2079.39,1
274,0.00491556,2,3.47967e+06,75822.2,0.162,0.00491556,0,0.162075,0.0826442,2283.91,332.271,2077.22,73.5731,0,2078.53,1
275,0.0049335,2,3.99393e+06,75955.6,0.162,0.0049335,0,0.162075,0.0827467,2284.07,332.947,2077.01,57.2092,0,2077.79,1
276,0.00495144,2,4.54435e+06,76089,0.162,0.00495144,0,0.162076,0.0828493,2284.23,333.623,2076.79,40.8449,0,2077.19,1
277,0.00496938,2,5.13092e+06,76222.4,0.162,0.00496938,0,0.162076,0.0829518,2284.4,334.298,2076.57,24.4805,0,2076.72,1
278,0.00498732,2,5.75361e+06,76355.8,0.162,0.00498732,0,0.162077,0.0830543,2284.56,334.974,2076.36,8.11621,0,2076.37,1
279,0.00500526,2,5.61529e+06,76326.6,0.162,0.00500526,0,0.162077,0.0830172,2283.98,334.579,2075.4,-8.05011,0,2075.42,1
280,0.0050232,2,3.62244e+06,75859.5,0.162,0.0050232,0,0.162078,0.0826041,2281.38,331.303,2072.47,-23.6835,0,2072.6,1
281,0.00504114,2,2.06643e+06,75392.4,0.162,0.00504114,0,0.162078,0.082191,2278.78,328.026,2069.53,-39.3169,0,2069.91,1
282,0.00505908,2,947313,74925.4,0.162,0.00505908,0,0.162079,0.0817779,2276.18,324.75,2066.6,-54.95,0,2067.33,1
283,0.00507702,2,264998,74458.3,0.162,0.00507702,0,0.16208,0.0813648,2273.58,321.474,2063.66,-70.5834,0,2064.87,1
284,0.00509496,2,19532.6,73991.2,0.162,0.00509496,0,0.16208,0.0809517,2270.98,318.198,2060.72,-86.2168,0,2062.53,1
285,0.0051129,2,210918,73524.2,0.162,0.0051129,0,0.162081,0.0805386,2268.38,314.921,2057.79,-101.85,0,2060.31,1
286,0.00513084,2,839153,73057.1,0.162,0.00513084,0,0.162081,0.0801255,2265.79,311.645,2054.85,-117.484,0,2058.21,1
287,0.00514878,2,1.90424e+06,72590,0.162,0.00514878,0,0.162082,0.0797124,2263.19,308.369,2051.91,-133.117,0,2056.23,1
288,0.00516672,2,3.40618e+06,72122.9,0.162,0.00516672,0,0.162082,0.0792993,2260.59,305.092,2048.98,-148.75,0,2054.37,1
289,0.00518466,2,5.34493e+06,71655.9,0.162,0.00518466,0,0.162083,0.0788862,2257.99,301.816,2046.04,-164.383,0,2052.63,1
290,0.0052026,2,8.60791e+06,71032.5,0.162,0.0052026,0,0.162084,0.0783402,2254.82,297.525,2041.85,-173.467,0,2049.21,1
291,0.00522054,2,1.27096e+07,70400.5,0.162,0.00522054,0,0.162084,0.0777868,2251.63,293.178,2037.59,-182.188,0,2045.72,1
292,0.00523848,2,1.76104e+07,69768.5,0.162,0.00523848,0,0.162085,0.0772335,2248.43,288.831,2033.33,-190.909,0,2042.28,1
293,0.00525642,2,2.33104e+07,69136.5,0.162,0.00525642,0,0.162085,0.0766801,2245.24,284.484,2029.07,-199.63,0,2038.87,1
294,0.00527436,2,2.98095e+07,68504.4,0.162,0.00527436,0,0.162086,0.0761267,2242.04,280.137,2024.81,-208.351,0,2035.51,1
295,0.0052923,1,3.60462e+07,67872.4,0.162,0.0052923,0,0.162086,0.0755734,2238.85,275.79,2020.55,-217.072,0,2032.18,1
296,0.00531024,1,2.88721e+07,67240.4,0.162,0.00531024,0,0.162087,0.07502,2235.65,271.444,2016.3,-225.792,0,2028.9,1
297,0.00532818,1,2.24971e+07,66608.4,0.162,0.00532818,0,0.162088,0.0744667,2232.46,267.097,2012.04,-234.513,0,2025.66,1
298,0.00534612,1,1.69211e+07,65976.4,0.162,0.00534612,0,0.162088,0.0739133,2229.26,262.75,2007.78,-243.234,0,2022.46,1
299,0.00536406,1,1.21443e+07,65344.4,0.162,0.00536406,0,0.162089,0.0733599,2226.07,258.403,2003.52,-251.955,0,2019.3,1
300,0.005382,1,9.03873e+06,64862.8,0.162,0.005382,0,0.162089,0.0729276,2223.51,255.125,2000.16,-254.915,0,2016.34,1
301,0.00539994,1,6.85636e+06,64471.9,0.162,0.00539994,0,0.16209,0.0725681,2221.35,252.491,1997.34,-254.406,0,2013.47,1
